date,open,high,low,close,volume
2024-01-02,62360.0,62520.0,62320.0,62460.0,1655602
2024-01-03,62390.0,62500.0,61810.0,62410.0,836331
2024-01-04,63070.0,63410.0,62950.0,63370.0,2128450
2024-01-05,63970.0,64090.0,63820.0,63930.0,2717175
2024-01-08,63870.0,63970.0,63460.0,63940.0,453196
2024-01-09,63600.0,63630.0,63110.0,63600.0,2197861
2024-01-10,63910.0,63940.0,63380.0,63930.0,1787322
2024-01-11,65340.0,65640.0,65320.0,65380.0,1654300
2024-01-12,66310.0,66370.0,66100.0,66260.0,889656
2024-01-15,65620.0,66250.0,65360.0,65980.0,1091359
2024-01-16,65450.0,65780.0,65080.0,65330.0,2143269
2024-01-17,65080.0,65580.0,64790.0,65280.0,1663875
2024-01-18,66030.0,66140.0,65910.0,65930.0,1548195
2024-01-19,65440.0,65650.0,64670.0,65200.0,818756
2024-01-22,64600.0,64610.0,64350.0,64430.0,1234088
2024-01-23,66530.0,66820.0,66380.0,66460.0,1993031
2024-01-24,66340.0,66510.0,66160.0,66340.0,2749233
2024-01-25,67680.0,68140.0,67160.0,67560.0,470784
2024-01-26,68310.0,68880.0,67830.0,68020.0,435519
2024-01-29,70160.0,70840.0,70030.0,70500.0,1642599
2024-01-30,72420.0,72620.0,72190.0,72400.0,998900
2024-01-31,71220.0,71350.0,70730.0,71330.0,432183
2024-02-01,71960.0,72050.0,71680.0,71830.0,1180960
2024-02-02,71580.0,72000.0,71290.0,71580.0,2047196
2024-02-05,71180.0,71690.0,71090.0,71330.0,2370020
2024-02-06,71580.0,72120.0,71180.0,71220.0,2411437
2024-02-07,72220.0,72350.0,71660.0,72320.0,1697744
2024-02-08,72440.0,73070.0,71980.0,72200.0,1617897
2024-02-09,73090.0,73470.0,72870.0,72980.0,760420
2024-02-12,74820.0,75120.0,74390.0,74820.0,2497340
2024-02-13,75450.0,75980.0,75310.0,75390.0,2656832
2024-02-14,75220.0,75410.0,75170.0,75300.0,2009667
2024-02-15,76010.0,76110.0,74790.0,75700.0,665219
2024-02-16,76100.0,76490.0,75720.0,76060.0,394258
2024-02-19,74980.0,75700.0,74940.0,74990.0,728167
2024-02-20,74810.0,75320.0,74410.0,75220.0,1766180
2024-02-21,76380.0,76590.0,76250.0,76360.0,344746
2024-02-22,77520.0,77550.0,77270.0,77370.0,1348793
2024-02-23,77000.0,77260.0,76780.0,76820.0,1640722
2024-02-26,76260.0,76470.0,75780.0,76230.0,1898779
2024-02-27,77670.0,78090.0,76970.0,77130.0,2596007
2024-02-28,79010.0,79250.0,78980.0,79070.0,1113948
2024-02-29,79740.0,80040.0,79560.0,79860.0,1356425
2024-03-01,79790.0,79800.0,79500.0,79740.0,825677
2024-03-04,79640.0,80270.0,79510.0,80070.0,449633
2024-03-05,77640.0,78230.0,77350.0,77940.0,2677153
2024-03-06,78500.0,78630.0,78450.0,78510.0,2940044
2024-03-07,79270.0,79610.0,78900.0,78990.0,1464067
